,Title,key_1,Year,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
765,'til there was you,1997,1997,tt0118523,movie,'til there was you,'til there was you,0.0,1997.0,,113,"Comedy,Romance"
2434,10 things i hate about you,1999,1999,tt0147800,movie,10 things i hate about you,10 things i hate about you,0.0,1999.0,,97,"Comedy,Drama,Romance"
1297,101 dalmatians,1996,1996,tt0115433,movie,101 dalmatians,101 dalmatians,0.0,1996.0,,103,"Adventure,Comedy,Crime"
1144,12 angry men,1957,1957,tt0050083,movie,12 angry men,12 angry men,0.0,1957.0,,96,"Crime,Drama"
969,2 days in the valley,1996,1996,tt0115438,movie,2 days in the valley,2 days in the valley,0.0,1996.0,,104,"Comedy,Crime,Thriller"
2358,20 dates,1998,1998,tt0138987,movie,20 dates,20 dates,0.0,1998.0,,87,"Biography,Comedy,Romance"
988,"20,000 leagues under the sea",1954,1954,tt0046672,movie,"20,000 leagues under the sea","20,000 leagues under the sea",0.0,1954.0,,127,"Adventure,Drama,Family"
2367,200 cigarettes,1999,1999,tt0137338,movie,200 cigarettes,200 cigarettes,0.0,1999.0,,101,"Comedy,Drama,Romance"
895,2001: a space odyssey,1968,1968,tt0062622,movie,2001: a space odyssey,2001: a space odyssey,0.0,1968.0,,149,"Adventure,Sci-Fi"
3289,28 days,2000,2000,tt0191754,movie,28 days,28 days,0.0,2000.0,,103,"Comedy,Drama"
3107,3 strikes,2000,2000,tt0199290,movie,3 strikes,3 strikes,0.0,2000.0,,82,Comedy
655,"301, 302",1995,1995,tt0112257,movie,"301, 302","301, 302",0.0,1995.0,,100,"Horror,Mystery,Thriller"
2342,52 pick-up,1986,1986,tt0090567,movie,52 pick-up,52 pick-up,0.0,1986.0,,110,"Crime,Drama,Thriller"
2065,54,1998,1998,tt0120577,movie,54,54,0.0,1998.0,,93,"Drama,Music"
1427,8 heads in a duffel bag,1997,1997,tt0118541,movie,8 heads in a duffel bag,8 heads in a duffel bag,0.0,1997.0,,95,"Adventure,Comedy,Crime"
403,8 seconds,1994,1994,tt0109021,movie,8 seconds,8 seconds,0.0,1994.0,,105,"Biography,Drama,Sport"
2368,8mm,1999,1999,tt0134273,movie,8mm,8mm,0.0,1999.0,,123,"Crime,Drama,Mystery"
805,a boy called hate,1995,1995,tt0112568,movie,a boy called hate,a boy called hate,0.0,1995.0,,97,"Crime,Drama,Romance"
424,a bronx tale,1993,1993,tt0106489,movie,a bronx tale,a bronx tale,0.0,1993.0,,121,"Crime,Drama"
1432,a brother's kiss,1997,1997,tt0118783,movie,a brother's kiss,a brother's kiss,0.0,1997.0,,92,Drama
2227,a bug's life,1998,1998,tt6705128,movie,a bug's life,a bug's life,0.0,1998.0,,,
2225,a bug's life,1998,1998,tt0120623,movie,a bug's life,a bug's life,0.0,1998.0,,95,"Adventure,Animation,Comedy"
2145,a century of cinema,1994,1994,tt0109390,movie,a century of cinema,a century of cinema,0.0,1994.0,,72,Documentary
1064,a christmas carol,1938,1938,tt0029992,movie,a christmas carol,a christmas carol,0.0,1938.0,,69,"Drama,Family,Fantasy"
2654,a christmas story,1983,1983,tt0085334,movie,a christmas story,a christmas story,0.0,1983.0,,93,"Comedy,Family"
2300,a civil action,1998,1998,tt0120633,movie,a civil action,a civil action,0.0,1998.0,,115,Drama
1147,a clockwork orange,1971,1971,tt0066921,movie,a clockwork orange,a clockwork orange,0.0,1971.0,,136,"Crime,Sci-Fi"
1035,a damsel in distress,1937,1937,tt0028757,movie,a damsel in distress,a damsel in distress,0.0,1937.0,,101,"Comedy,Music,Romance"
2685,a dog of flanders,1999,1999,tt0160216,movie,a dog of flanders,a dog of flanders,0.0,1999.0,,100,"Drama,Family"
2859,a face in the crowd,1957,1957,tt0050371,movie,a face in the crowd,a face in the crowd,0.0,1957.0,,126,"Drama,Music"
641,a family thing,1996,1996,tt0116275,movie,a family thing,a family thing,0.0,1996.0,,109,"Comedy,Drama"
1933,a far off place,1993,1993,tt0106868,movie,a far off place,a far off place,0.0,1993.0,,100,"Adventure,Drama,Family"
946,a farewell to arms,1932,1932,tt0022879,movie,a farewell to arms,a farewell to arms,0.0,1932.0,,80,"Drama,Romance,War"
2143,a few good men,1992,1992,tt0104257,movie,a few good men,a few good men,0.0,1992.0,,138,"Drama,Thriller"
1042,a fish called wanda,1988,1988,tt0095159,movie,a fish called wanda,a fish called wanda,0.0,1988.0,,108,"Comedy,Crime"
461,a good man in africa,1994,1994,tt0109920,movie,a good man in africa,a good man in africa,0.0,1994.0,,94,Comedy
257,a goofy movie,1995,1995,tt0113198,movie,a goofy movie,a goofy movie,0.0,1995.0,,78,"Adventure,Animation,Comedy"
612,a great day in harlem,1994,1994,tt0109934,movie,a great day in harlem,a great day in harlem,0.0,1994.0,,60,"Documentary,Music"
2710,a hard day's night,1964,1964,tt0058182,movie,a hard day's night,a hard day's night,0.0,1964.0,,87,"Comedy,Musical"
271,a kid in king arthur's court,1995,1995,tt0113538,movie,a kid in king arthur's court,a kid in king arthur's court,0.0,1995.0,,89,"Adventure,Comedy,Family"
3386,a king in new york,1957,1957,tt0050598,movie,a king in new york,a king in new york,0.0,1957.0,,110,"Comedy,Drama"
3044,a league of their own,1992,1992,tt0104694,movie,a league of their own,a league of their own,0.0,1992.0,,128,"Comedy,Drama,Sport"
1678,a letter from death row,1998,1998,tt0119521,movie,a letter from death row,a letter from death row,0.0,1998.0,,89,"Crime,Drama,Mystery"
1575,a life less ordinary,1997,1997,tt0119535,movie,a life less ordinary,a life less ordinary,0.0,1997.0,,103,"Comedy,Crime,Fantasy"
2464,a little bit of soul,1998,1998,tt0119546,movie,a little bit of soul,a little bit of soul,0.0,1998.0,,84,Comedy
274,a little princess,1995,1995,tt0113670,movie,a little princess,a little princess,0.0,1995.0,,97,"Drama,Family,Fantasy"
387,a low down dirty shame,1994,1994,tt0110399,movie,a low down dirty shame,a low down dirty shame,0.0,1994.0,,108,"Action,Comedy,Crime"
1847,a man for all seasons,1966,1966,tt0060665,movie,a man for all seasons,a man for all seasons,0.0,1966.0,,120,"Biography,Drama,History"
